Video_ID,Views,Likes,Dislikes
yNOAs3poxMw,2358291,57449,5991
yNEZeVRGOto,89396,507,12
yMJnsTx-TBg,5409204,90160,1518
yL0HsW19wWA,4451,18,1
yK5lZTPHozs,1759648,86473,448
yJpmQ8ffIk4,177101,3210,87
yIYGyzNUYtQ,1054957,30846,194
yHdywmhx6sU,76572,745,34
yGn8Apo1GLQ,5607,277,81
yGLEw7T3cA0,3237,169,0
yFhwMBg-YLI,35065,128,10
yFT2iBA_5Zk,133785,985,89
yE8ROHu03Xw,2456549,32994,9174
yDz4WbDy0CQ,727803,19359,134
yB7ETpSEdCg,244911,1528,10
y9qZJGqtNjk,44013,926,46
y77FqagG5EE,49478,1049,88
y5GqgRIRJDg,6212,114,15
y3uvrbUBi8k,91187,1324,79
y3GLhAumiec,5586061,43031,3770
xyiB6yKucy0,109058,1418,71
xyEijpJ9YL0,197511,3401,62
xy09IhG9S5g,159126,2310,177
xw1vQgVaYNQ,1001681,42388,612
xvGK3MIzyMQ,60303,327,315
xsd3PQRaMwk,54574,257,11
xsODpM3Rwdg,1875523,44356,1745
xrUgvNROy8Y,108939,1234,66
xqUff029oNQ,208292,3255,122
xq16Ii_Vnbg,17632,97,4
xpbRBTVVAwc,51353,691,47
xpRQY2AX4CM,2556201,91835,574
xp2ysqTmUyA,5381,51,3
xnmxxB2bAHk,14006,115,18
xnkwS0tx6nQ,111546,4486,83
xn7vYEn0hF0,186516,3568,387
xm7pZwxV76g,10293,56,52
xlBTUsjH9Ho,462882,2361,1166
xkvBpKHL99k,3644073,45662,4002
xisIXjVpdjg,172648,3479,262
xhwAuYcInMQ,186706,2303,51
xhRWPVveCUw,114411,2667,84
xgG8cAG1l5k,391288,4912,513
xg-LedIxmJw,34798,772,8
xfUUvblvrOo,46287,1469,63
xeukZzb7vfA,133987,3650,104
xejjA2AFO5I,1040643,7562,210
xbi6OgQ8Suk,35596,701,103
xb7_GJ1JmI0,297724,916,124
x_W48KAhrh4,39501,532,677
xYmLmeOVa6k,85592,1191,56
xXgG8nwO04w,64022,346,28
xXBTImqyeU0,4954482,119332,1439
xUyTRSlmXf4,5862360,51944,1939
xUGmZXIaN6w,35259,299,21
xTiviCLKzxU,500095,14269,66
xTffW9hIqa8,34265,862,33
xTLsFUk5fTk,291178,2490,844
xSEeiSTjOhQ,131709,2805,112
xRnqaY2N8iM,1210882,44152,355
xQcMhqIlk1g,79110,610,39
xQH_udm2PSA,2283467,61104,518
xLe24M_PB5E,697635,16663,6779
xLTdy6PfotA,2526153,78140,2898
xLEYnzs2G2Y,363769,6792,295
xJOZO8elOtY,78332,694,8
xI88TN9lFSo,183736,5859,183
xHZDzl1DDuY,138089,3095,127
xHY5G7pdAhw,391586,4818,720
xD8X66rWiR0,75816,497,26
xC5HOOEXmqI,63213,670,29
x8uEMu0nHZ8,39283,496,78
x6lo3v-IcPE,1717797,12396,1213
x6CyqhYsLqo,3500267,47047,1056
x5sj7yRpPKQ,18374,153,16
x4VVd6PENLI,342574,6029,59
x41SMm-9-i4,2747944,26723,894
wy7uzo_Vlu8,766202,11868,478
wxcvbL6o55M,1594800,11193,298
wxLnhrcbcPA,85716,1516,62
wxIdKtrOtN8,387832,6247,258
wwbV-7cRVzA,35170,828,103
ww06yGPM7Kc,2123792,24297,642
wvcRV7bte1A,253215,6750,111
wuitHrhC8Qk,7400,172,17
wuLaKDBNW4M,36928,373,59
wuBRcfe4bSo,2644942,21319,656
wty1MewUEQU,2011,95,17
wtJPe1ksS6E,1451571,28774,337
wsocJlmXYWw,21680,452,78
wsIDHI0JRJw,535188,25384,251
wr2V6pP1wzw,39567,1402,59
wquCatBE2Dk,236233,1169,35
wpd-z940rNs,1947795,82374,349
wpQces0zCUg,608561,23247,109
woN8pnA5_wk,2291624,110401,703
woBXjScA0s0,104212,1946,290
wnZL2eO3TmE,216002,1814,60
wnW7WnRw5jk,168252,2492,42
wlPXCY6U-Rw,119453,1860,86
wl0koy0NkG8,116837,938,70
wkhPHjzTzAw,411779,16015,460
wkBw_pphRqs,660745,11402,522
wk-kciG2hOk,294853,3145,259
wg-mx9yYH_0,179368,84,13
wfE6vwk8Sfs,83373,1807,52
wf1efwYlNXc,154077,4813,113
wekE7oSO55w,78847,1954,79
wePNJGL7nDU,814367,15637,1360
wdnHJtqpxVo,495388,2527,182
wdGlR3nvgmc,166382,3893,173
wdDKLeKiFaU,551855,4754,145
wcp_0aIaQKY,365150,2533,105
wckvy07xStI,387769,4987,248
wbY0aM6e8VY,233195,3143,144
wavL-4oCb9o,13798,148,34
waEi0rw-TYU,56971,1312,86
wUifSgM44_I,183255,3321,167
wUWfOY1gU5o,2209,113,1
wUI89K9ikJg,259246,1553,64
wUFwunMKa4E,5295108,77408,1694
wT4UD1cARKI,100720,2296,79
wT2hUaohzjM,743810,13743,1468
wRbMY7yeIQM,119506,2060,45
wLbvqioTrxA,1133260,21583,680
wLVylQO77-I,270138,4211,120
wLP4ihDsyvc,1792214,24302,591
wJqBNYvqF7I,687111,4952,539
wJ0qTN5nUQw,74377,1381,151
wHpO9AG_dkE,896352,11266,256
wHgq9BgJ9L4,403498,2977,29
wGgtqkhZeBM,253966,575,53
wGAi77B7oK4,72991,967,103
wFluanr34SY,3210,94,2
wFMSbeMXg8w,58195,169,20
wDbjUuE4pGc,139701,392,9
wCsFXyoNOd4,62552,1579,40
wCaGK34d_SQ,22982,91,13
wBPBSroi_VE,1543807,4402,2518
w7sjEaag5yc,845072,22971,406
w5gGRNnbbQ8,33706,446,8
w1fiM1NkpeM,151930,1907,91
w1JDTqatpdE,852798,15618,799
w0t0_IlyoI0,48972,1716,1038
w0qCoUEh7og,1489049,61841,319
vzVhPCMAxWQ,3204859,11336,870
vzJuhOn3Y58,62476,931,37
vynbZLtqOiE,545923,18628,293
vwhM5y-0aUI,66381,1892,163
vwVyAYc0Qig,55237,416,48
vv07HmXDu-w,176359,1278,42
vsb8_KiUPqM,364524,8004,170
vrZkGgoVSFk,327531,1627,209
vnDYaYXifYo,250217,4846,80
vlOk23dC98Q,438210,2823,174
vlNNLgOC524,126464,648,38
vkaO0Kmoicg,192011,6189,87
vhkFugK6sww,16598,168,387
vhcXyK8s-io,123399,1540,78
vgNlqZUTY2Q,19727,250,25
ve7vhY1cIAU,7648,151,23
vckLf4bVNUo,398494,8116,111
vc0fb3xhFHY,1605312,4768,754
vbyLDR3mD3A,106157,1169,10
vbOXc4QNy9M,316549,4113,196
v_iCD-TbjNc,131634,1060,128
v_dHWI4CzUU,1118880,24019,575
vZxOEH6xFvk,52140,2060,172
vYqkCQP2o3A,291039,8992,161
vWfr0NxL9Yk,3629655,128810,525
vV9NZBNmsGs,8316,50,27
vTsHWAWkOgg,252058,3454,348
vR9egKGVG50,1049652,69853,1321
vR0q5Rb03qY,21989,245,74
vQnjug5dtVs,80789,955,23
vP9eDmX0ow0,1341297,18055,182
vOkAfMCp9vQ,284840,1574,56
vM2zD5FtrkQ,2446779,61031,1152
vLXYfgpqb8A,4524308,62318,997
vJGWvZs2xn8,184473,1372,50
vI03_g-hlGM,169876,1324,95
vHy7FegT39A,158841,1916,151
vEYMg_S5e8U,24973,645,25
vEGwdehu2pQ,168678,4354,326
vDqURqDla4E,172726,6087,120
vD7Es0ODkTY,100644,152,8
vBqePv4KprE,25561,887,32
vAg-jZgn_dk,566226,17327,764
vAZWhFI9lLQ,1003373,6192,159
v8ms7W5m42s,57080,1698,79
v781JqMRK_I,87259,732,21
v6OeLi0Dgio,58163,475,30
v5NtNn43NW4,10443,43,9
v4rIeRr2CB0,810503,21664,290
v4pi6hGbo8Y,181758,3294,68
v4gEmw3QVJU,15031,208,5
v49OIzSf7iA,1410313,14929,452
v28SBWLdSFY,192736,3137,40
v1n0nJrycyw,35601,672,19
v1INf4HA_AM,25871,77,8
v1EPLNJBfQU,36708,311,59
v0pdjx6L0IY,5441,35,4
uxE6WDN_DAE,1053233,10787,75
uvAdCWWl5l4,81437,1506,56
ush9tlkcERI,447960,30882,102
useJWxOqbJI,755156,16942,348
us3mztClLI0,61523,2315,49
uqW4l9Y5cXY,7929933,161185,1641
uqT0ayeR8Ps,428800,2533,189
uoGOVC55G2s,60683,2330,79
unUycSGEcWY,109553,1543,46
umpwOGbsk0Q,23145,668,98
umWanV97i7U,91269,787,76
um2Q9aUecy0,1249048,14386,317
ujafLBlwgEk,1772,105,34
uhvDrCA0xVQ,351578,1064,216
uhe3uMchpYo,4610,127,5
ugm5peeAirc,61851,901,220
uftuhKxMxhY,97729,574,73
uecHqZx_wrs,498582,1093,465
udo6Cgu6EMQ,1464528,576,100
udh2D_0jqBY,2038264,39619,432
uc82e7GGHl8,45254,113,49
ubVH69V-D1E,1571113,37496,415
uaOLK5B_mE8,173182,2433,54
uaJcZ6yAejI,555663,7569,405
uZ0KNVU2fV0,4486566,21099,1200
uXmIxn7niqQ,862611,12608,285
uXCI7bTOagI,27052,279,12
uXBDok3NFHs,91745,2332,96
uV2X4g5AzSg,28044,517,29
uUST_IQYp-o,2756704,172366,655
uSAM4l5ojCs,1222697,20540,260
uS3Vp_quGCw,2619480,24894,771
uP1hL7rRuiE,21443,281,14
uGPF79Xl6XQ,452996,7163,409
uFhRONeopbQ,2544383,78727,630
uFf6YPqh1TM,67159,954,39
uEv59Ajhpoo,52025,1323,91
uEGFYhuXD5Q,174194,776,60
uEE7HqPvqOg,3262707,47731,13031
uDr1W-Dm4do,100160,729,32
uBPn5oQNutI,1722336,11402,899
uAx8EGrUozE,2351678,71035,493
uAgeCLYnwNg,213489,4772,4682
u93-GJrz1xo,91499,283,9
u83uo2_qWo0,49286,419,37
u7ZHi_dDSnQ,3078238,21706,1241
u66kRUXPa78,27631,503,32
u5Y5Z7TZP58,150279,516,94
u5BTTuo2piI,71653,1057,78
u4IUuxg84Qg,14242,150,74
u3wPWCj2L6I,444835,7880,169
u3N2HqVyO5I,17123,321,62
u36OoXyHHXw,45984,328,12
u31k-d1Ljes,69501,1070,83
u2F16efPzas,46379,311,44
u05oI1eb6NU,48249,1709,973
u-dmLQv9hBk,457415,8817,734
u--o_0h7c28,21935,486,36
tyGyEEi6sqs,17001,416,37
twbGU2CqqQU,11725043,30099,2850
tvw8qcf4kv8,79253,402,29
ttPhRKh-PRs,54230,800,92
tro26_he3kY,83297,1667,238
trdQk1dQt-w,139585,967,17
trccDLgTzJY,758090,30571,185
trGBA0klzjU,12487,234,16
tqGZKiOLsU8,133159,313,29
tp9UKod1CZM,27806,826,29
tnlYv_oFZyw,57847,494,38
tkhSQ90EiQU,504807,4209,157
tkKY_xP7dPU,334760,715,45
tjxMZeBaFtc,58952,1550,19
tjcbV99jVlM,197263,2450,156
tjKGZGoLoNI,3496567,23145,1890
tiNrG1bkpkQ,118502,536,56
tiJQnO_dsKg,100797,2200,29
thDPriFPjRw,305896,3659,97
th8WT_pxGqg,3303618,18374,580
tflC2Jr6scs,485949,11708,230
tebjMZKs0VY,68774,999,44
tdcgw9qqZgg,413783,5076,99
tdC-o_1phso,144896,6170,44
tcj5G157aBo,69228,604,46
tcHrtiw66P4,56155,140,34
tc9YvtGE16s,2118303,78682,437
tc5wS40lYYQ,27581,541,40
taMNuQDTUr4,849971,6120,381
taE3PwurhYM,3389904,76465,1128
t_gQ_EGmGXY,14995,78,11
t_UqIMUgmZs,268565,3839,290
tZl7xx9Fqxw,107421,2138,39
tXU_XmDiOlI,196242,8084,131
tXLQJeQKVK0,92596,2391,468
tW0zzgdrPMA,317841,9324,57
tTwT0MCSs6g,30733,288,26
tRcKv6oaQ6E,847,62,150
tQssrm7kiEs,462752,14106,130
tQA1omPJN24,3924023,62894,2208
tPsLcrVlwt4,284412,6089,9226
tOauOJg-fCQ,121269,835,45
tNeBQDeDC5E,67858,1881,92
tMSu3Gyz1jU,3410534,21532,3062
tLfLU6-9lxY,4386316,41604,1104
tIgwVkjLaqE,43513,358,57
tI9wa-Y9O8s,185606,1205,70
tHC9ml-TOXg,408259,8036,343
tG4Fbj1B1bY,2461884,16364,798
tFkjxHqg6zc,225120,837,71
tF0dE5vliVU,311433,6548,181
tDY4N6I345Y,39303,299,41
tC_-XMP0KVU,31698,190,69
tCGHOKENC3Y,201181,4936,167
tBnarCTOiCY,2290098,26568,709
tBfBvrrV4es,115808,1042,20
t8Uy4r7-jPQ,210506,217,27
t7fvT0-lnEo,8330,222,1
t3Zez37nTGg,674520,3474,58
t2AOThN8lbM,12634,70,80
t0DxEXSLebs,35598,643,82
t058durlVWc,277480,2230,165
sxL4Fz1Ak7M,503755,6449,188
sw_eMBu4Jk4,56245,394,10
svVykTznk9Q,3165061,57221,967
su8PjNZazO0,50827,582,82
stsqf9ljurA,436334,1010,68
st6r-8mLW_o,3150898,22533,881
srV0Kg1C2bY,3422314,76820,438
sqZxZ20NrNc,623075,4304,400
sm_hwxNTAa0,1288858,4524,257
sluQQ4bCEUk,35602,579,83
slmilObZl28,537187,3437,112
slVa0LaGqW4,124243,609,35
si1nUGVVTYU,71516,657,102
si-1aD0BAjg,671664,2567,184
sh8_gEFMgz8,193774,924,52
sgZ7RKyDrLg,561518,9859,606
sfzerK4lY1A,1392504,149,14
sf8h-L7ohWM,1619666,31058,430
setgvHG3w48,572740,1395,100
sdltVQOSK50,50924,314,12
sbw7QB6nrTc,569837,36606,283
sb9KEuppbX8,444572,1659,348
saXM2VOBI0M,976198,11041,784
sYaI9Ne5FeY,61172,468,27
sXw843GfNFw,29295,343,203
sXpKv5iqPYA,29213,115,16
sV7-MJZvUZk,133226,2571,67
sV-DYvuOR7o,32716,385,45
sTh35JKYBnY,6691,15,1
sSotxonBgOQ,316069,4026,189
sRpG00kNdF4,87475,202,18
sQaIDo94viA,92875,1192,44
sQJZWgirUpE,132071,1198,245
sPoTMwOftuA,474625,3714,299
sPkoW4cmqT8,397102,6838,97
sMm0X1i0YWw,313126,1517,401
sMPdsKvhCOo,190917,3293,94
sM5vWQUX9V4,576203,4278,268
sLfnSesx2RE,214568,836,74
sInALFf_fEc,113316,2951,76
sIA55xBZST0,36353,1248,33
sFzvJMmH9x0,789872,10295,4016
sFF5scGfVVQ,287495,4876,140
sExZim0S8nk,34643,111,6
sDp4AuNen0Y,917086,20348,198
sCimThZW-Ew,1113740,13032,201
sAfrBD5t5a8,9094201,178960,1234
s8Keau90JCI,68146,411,59
s7ODoHidsUE,760486,36471,187
s6jUmi4I4zg,81409,2599,50
s6TB7KEqhRo,13943,221,5
s4BTHHhrbto,190728,2653,38
s3kwFV3xqE8,62586,1103,720
s2eBAFt3L_0,1682545,10133,1427
s24UtlmNDv4,25194,1042,67
s0sZtjE2MXg,537560,6045,147
rxKbrz1daPA,104694,2633,20
rx9Coj4lgu0,19359,365,19
rvxPzgQghVY,631163,18186,601
rs9YpUktrWw,570826,3321,178
rrm7NHKxqQg,11323,64,10
rontZbe_fG4,195881,1886,73
rnnzNUD4VwM,122576,2024,46
rnfLg_LSzZA,29704,616,27
rmMEO62MVA0,4309,19,3
rmC3ZhIHHi4,4813377,18219,598
rm9Riat_cXY,195847,1311,48
rm5-Vbwy3VQ,6174,59,5
rm-FjYW24JY,1146762,7682,270
rlZUsPcChgI,3389772,13943,368
rl7TDZ0cL1U,37154,505,36
rjwuf_3P068,333445,1165,40
rjUrg1CtskU,225475,6266,123
riHMex1IPqw,33484,229,32
rfJY5vyfyxs,5104664,194310,3581
rf6sFXLimQk,44124,500,41
remv8bNEPc4,34339,140,102
re7nsFCRXXs,17278,160,39
rcfKg23Xf_4,780824,6667,8116
ra-haih-i_8,62383,1480,56
r_51UsTDBAE,2744008,54314,9587
rZkMPRz_di0,233157,7099,117
rYg7x1VPI30,1053,30,5
rX40mBb8bkU,4040678,59270,827
rWd802tL3J4,38802,836,29
rVP7IVk0btY,739391,46112,2047
rV8vTGcv5Jc,1197420,12714,329
rSvXJNpbXN4,254188,2057,34
rQvIR1oL1vE,3443460,54602,527
rOIbgD1HU1M,247114,6329,151
rN0AVgceINA,13938,101,6
rM7ZSfBXkYI,301941,3276,107
rM2qY_tOnjc,5911,34,6
rLHxbemvpxY,1552696,4797,1563
rKeFCd1j5BE,235706,8267,69
rJFL-GOlwgk,244337,2105,33
rITVsLScugo,732061,16966,131
rFzvBYFrhOc,1299312,6772,230
rFyGMTkr9n0,62235,1322,68
rFr7mjUNWwY,227053,876,80
rFOEB2dKRxc,33546,312,19
rF39C7GgR4g,268085,3729,403
rEUbvoJYUY0,344089,10516,82
rDUbEvhufd0,1099465,35296,244
r9PeYPHdpNo,1155367,15209,333
r7T7A6ICJTY,135447,3941,92
r7Eldfklc4Y,284595,4244,357
r79c9uPRc6I,574765,10973,597
r6TlioPZElk,634280,4640,142
r4kiR2vsfAQ,177023,1329,22
r4AYP5CdWHA,76498,866,158
r-gLxTE6IFA,46710,551,32
qzsxiOWonM0,14704,244,24
qzDHW3CeVrM,184096,1505,53
qxgbdYaR_KQ,4210595,15829,460
qxRrpAYLtHI,147452,1489,86
qvPbJdDKKds,402220,10376,6073
qtswR_SW8S0,259168,6882,369
qtigQqAWbtI,56664,923,69
qt6byUPeszg,39767,565,39
qsh7bh8AlR0,481794,15684,201
qsRGW6q5p-M,811129,8577,232
qsAIPE2f0QQ,1242628,13027,732
qr8HJFy3df4,1814850,101391,367
qqQOk1BWkdM,95992,876,47
qoS_gveqRqc,511948,9032,5356
qoBlks9mCg8,62319,1027,90
qnE9ZHcZUoU,521676,2282,375
qlRsOWkzFgM,220075,2384,293
qgTtyfgzGc0,937334,8781,359
qfSTiAw1rkM,3141040,28760,871
qcAjc_eTJEQ,25330,1053,22
qbc8tdWe6lY,414430,6514,7817
qbXDCzwAsU0,178172,3894,52
qbK49i3p5Hw,31158,289,17
q_k8fVNzbGU,370160,6166,234
qZhb0Vl_BaM,7924485,204198,11579
qYU5RrYQ9fI,176524,659,87
qXoRdSTrR-4,4190195,21096,2800
qXE7MkPXicM,577677,6914,280
qWKsiHEpiJM,3173466,14986,913
qVJzQc9ELTE,3501873,11455,1173
qUp7Qgimn38,9181993,22203,6913
qTvEvrdKuQw,771532,6648,285
qQ8Htm4jAGc,407351,1146,42
qQ-if5YpEIo,37362,824,69
qPELCYFK-Wg,620780,7460,184
qNUoCEa8k3I,138378,2071,89
qMlQz57mbc8,805260,26793,189
qMXO6Up6pvE,2021464,9529,1756
qMRpelMtbes,166253,2862,187
qM7Eob4YFDQ,1137081,10149,122
qKqj85oo2wI,1854128,6280,214
qKAQNpgaruA,77522,868,48
qHkelMSSCgA,173444,2955,134
qFZ2SRr27wY,24145,357,51
qErl4he7eMw,139284,3936,59
qDPtWLbL3QI,57952,2387,15
qDFDZE_9Mcw,1722668,31466,762
qBgtlbCSvI0,602030,488,796
qAxcYgPxS64,37350,130,1
qAtBbgtMnZ8,1212928,9325,1383
qAJGOIs9pak,58076,882,141
qA8z0_tXIpg,456312,18790,1958
qA-FxRAcY0g,57379,303,87
q9ZADzr5fZs,1541068,43070,293
q9Pk_Eq4BUc,7142427,163167,4210
q99hib0zS2M,1588410,19067,521
q96aGwtnIOw,49016,283,36
q7rlAJepVuA,242559,7390,145
q7fmi_Djskg,288542,2742,61
q7CQlGBnOIc,61530,265,33
q6hODbsUE7Y,1291625,4301,225
q57D6kF5B1k,3228181,18537,912
q3tq4-IXA0M,34437,154,28
q2b8MKsUloc,1356012,17824,560
q2FEblUV-o4,404367,3478,167
q0eIOW74XW0,177997,6745,109
q07_k5VKuaQ,234550,5683,698
q-6Q1PBofik,66778,1518,12
pzjOAglMbx4,48564,533,23
pz7HObUYjGM,2521,99,8
pxmy217jzB8,1669,72,0
pwcr3cc0LZM,569844,14909,273
pwLZSyIRuAc,145946,1706,172
pw4TNqtL7oY,63430,704,88
pvFqi-YFWe8,389691,3550,226
pulZCXl6uwU,241922,1841,171
ptQEfQi86bE,15057,372,283
psbdT3kS8mY,918322,21335,416
psHMRpH8RCY,80673,1973,81
prchZUT26KM,679620,3235,241
poUq9ypynKs,5035865,173162,12197
pkvshDmp5Hw,32037,1104,47
pitxxQYZcug,1929835,24574,811
pi2k1u6eZuI,538556,5504,94
pgEehnImErc,322015,5003,206
pdZ1vRAXv9w,32374,612,60
pb7CBZ952zs,995324,4263,357
pa_vpo0wk6g,380167,5440,147
pa7cwhcq-10,24388,322,43
p_tZxAgotGI,320703,11097,163
p_PJbmrX4uk,9069173,199061,2622
p_CwKXcDv1Q,100982,827,121
pZBXBQLngTU,193397,6716,2035
pYTupg8BnyY,1415,68,28
pVmDZVcpeRs,769019,6510,481
pVQFWvm_fbU,483616,2111,277
pV4HoHmVYIY,101471,1777,70
pSktoxkK58I,252723,4296,75
pOl7kSAu7BU,703598,43125,602
pN_XItALHmM,337711,2254,142
pNI-4fvuexQ,30455,920,79
pN8xZ5WDonk,2376125,21668,1028
pMb2MyO5FGs,53439,1055,161
pMIecEXEoQE,4998,35,19
pK7FcTfpJD4,124938,3139,56
pJrR29k4-UA,1312520,64799,592
pH0AsQeHXKw,8003,57,5
pFHCUst6iaA,69423,1497,37
pC3HlWL1hU4,782635,2628,79
pBxiq9s2wz4,333189,7759,170
pADsuuPd79E,339554,5962,409
p8enKudcpK8,376406,4411,163
p7dvJZuR3xc,11987,305,15
p5epZz0amdg,18933,291,35
p5N_3ki7cio,633561,3028,75
p2IlG12Tubo,51948,1184,45
p2GtPboSfb4,370516,6342,233
p1otGt99Rec,44877,498,8
p1Q4cfiho-4,490133,3196,173
p02P8HRtPFc,146617,2605,154
p-XeH76o4xQ,67579,297,11
p-1aM0oCjMY,424843,8852,179
ozYbqDiXT3I,5888324,196875,2612
oypPC6i3O1g,91309,794,35
oxwLn_d1NMM,67782,755,5
oxBk0L5iB-I,23838,650,37
ox7iP586qBg,4615,132,109
ovoJXdtPB-o,73146,1020,25
otf-9H4sOsc,178262,3287,228
otSCp9dD9oY,181907,1063,96
ostYFNFjhJ4,1167493,11107,600
osY929PCs2o,973585,46656,448
orlYG8yAS94,370358,2818,126
orHpSevqfQg,361161,185,48
oqJfNNt1BEc,726673,8647,269
op_cGQtFgYU,334314,3451,645
oo5nnF2Bk4E,931035,4173,260
omUnQ5ej6dY,569530,12393,161
olf9d8JvrA8,874259,4444,421
ol5Rf4g3Xfs,129809,1118,98
oih-GSz0uwI,223635,3216,152
oiFe5CSv9hM,100523,799,53
ohgkYc6-6vc,214779,4511,105
ohb5k3_vQcE,1253122,12716,623
ofYNrO77clY,1580476,20676,481
oenwnJcjsXE,96581,3450,30
odIVhuVz9m0,37262,318,37
odDFr1wSNMw,26333,340,9
ocGHeqpGCvo,66962,1049,166
oc-flKEKrPk,819,36,28
obRUABBsEeQ,34034,781,38
o_x_gTugVs0,2621090,105529,317
o_lM68xXLvo,109131,691,29
oZ4FrgGILM8,1554908,28252,554
oYfDRDjj8jQ,49710,808,26
oXC8GPLkyyc,117,0,0
oWnYtyNKPsA,2881779,21820,5424
oU7clobUQmQ,289112,1206,42
oRsaclO0VbU,3047148,8971,708
oNDTOy5bU_4,2016691,26859,359
oMzYiY5wcHU,1771739,40677,559
oMxTK3-hgeo,5271761,174584,7143
oMHwRal-AR8,7548318,90992,2114
oM8j4vDiX0Y,199089,8262,169
oLFFW7XbGwU,184561,3869,55
oKjGByzlwjg,140305,882,137
oIrfH-o-OUU,818564,12781,415
oHFS23RjyP8,83328,202,47
oH85obU350E,2329932,32653,535
oGENSl7XF_s,447840,6971,408
oG5PhPV8gd8,2901604,84001,646
oEMmj1wlMTc,11053,160,47
oEGXQ0ZHEYo,589040,11535,335
oCfV1DD8oDI,56736,172,9
oCRRG0GnXpk,62360,1068,59
oAMqmsvYrHM,68924,688,41
oAFgrAe5Gbo,109451,1548,99
o9J7BBLpncI,389100,4303,57
o8VjmZquB48,61292,1204,189
o8NW89_M1Qg,100262,1073,42
o7Ql4xmu9xk,479226,12146,109
o6bjjr51tGc,88855,532,80
o6328iWUKa0,56020,821,106
o5Mz_NGj81k,5553480,128157,1054
o4nZhjODT7A,543560,6904,519
o465RifQdV8,1298,22,9
o2AsIXSh2xo,22807156,180406,7882
o12blT1iMtE,117564,844,75
o-PM1jnnXd4,7354,30,7
nz7F2K4-waw,114394,2428,66
nyKdEwPHfnE,64181,1215,68
nx3cgGfHiuk,191181,2755,183
nvJSM0OULG0,826,68,105
nr-lJ_MVljw,901464,9021,429
nqWKbwmDYTI,143469,2865,75
nqS_nsAU5KY,385341,4606,54
np7mgTQe1vM,192162,3620,70
no3NQMNj1zU,1236,54,19
nloOsVep1zg,37704,384,15
nkKjlXEp11Y,2399027,82831,355
nfkl2kF705I,20640,134,34
